score	n	ineditismo	poder	familias	datasets_sugeridos
0.833	4	0.83	5475	agropecuaria+educacao+fiscalizacao_ambiental+mobilidade	br_ibge_ppm, br_inep_saeb, br_ibama_autos, br_mobilidados_indicadores
0.833	4	0.83	5475	agropecuaria+fiscalizacao_ambiental+mobilidade+vigilancia_sinan	br_ibge_ppm, br_ibama_autos, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5475	credito_financeiro+fiscalizacao_ambiental+mobilidade+saneamento_agua	br_bcb_sicor, br_ibama_autos, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5475	desmatamento_clima+educacao+fiscalizacao_ambiental+mobilidade	br_inpe_sisam, br_inep_saeb, br_ibama_autos, br_mobilidados_indicadores
0.833	4	0.83	5475	desmatamento_clima+fiscal_municipal+fiscalizacao_ambiental+mobilidade	br_inpe_sisam, br_rf_arrecadacao, br_ibama_autos, br_mobilidados_indicadores
0.833	4	0.83	5475	educacao+fiscal_municipal+fiscalizacao_ambiental+mobilidade	br_inep_saeb, br_rf_arrecadacao, br_ibama_autos, br_mobilidados_indicadores
0.833	4	0.83	5475	educacao+fiscalizacao_ambiental+fundiario+mobilidade	br_inep_saeb, br_ibama_autos, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5475	educacao+fiscalizacao_ambiental+fundiario+saneamento_agua	br_inep_saeb, br_ibama_autos, br_sfb_sicar, br_ana_outorgas
0.833	4	0.83	5475	educacao+fiscalizacao_ambiental+mobilidade+vigilancia_sinan	br_inep_saeb, br_ibama_autos, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5475	fiscal_municipal+fiscalizacao_ambiental+fundiario+mobilidade	br_rf_arrecadacao, br_ibama_autos, br_sfb_sicar, br_mobilidados_indicadores
0.833	4	0.83	5475	fiscal_municipal+fiscalizacao_ambiental+fundiario+vigilancia_sinan	br_rf_arrecadacao, br_ibama_autos, br_sfb_sicar, br_ms_sinan_violencia
0.833	4	0.83	5475	fiscal_municipal+fiscalizacao_ambiental+mobilidade+saneamento_agua	br_rf_arrecadacao, br_ibama_autos, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5475	fiscalizacao_ambiental+fundiario+mobilidade+saneamento_agua	br_ibama_autos, br_sfb_sicar, br_mobilidados_indicadores, br_ana_outorgas
0.833	4	0.83	5475	fiscalizacao_ambiental+fundiario+mobilidade+vigilancia_sinan	br_ibama_autos, br_sfb_sicar, br_mobilidados_indicadores, br_ms_sinan_violencia
0.833	4	0.83	5475	fiscalizacao_ambiental+mobilidade+politica+saneamento_agua	br_ibama_autos, br_mobilidados_indicadores, br_tse_eleicoes, br_ana_outorgas
